epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.3646,1.72259,5.65654,1.65903,0.00336,0.55556,0.03263,0.01443,1.67625,4.28478,1.78189,4.287e-05,4.287e-05,4.287e-05
2,144.274,1.22528,4.31553,1.33706,0.04403,0.55556,0.18354,0.06729,1.25265,3.58373,1.50331,9.80494e-05,9.80494e-05,9.80494e-05
3,214.219,0.90401,3.2458,1.07869,0.81138,0.22222,0.52372,0.2829,0.88352,2.66193,1.21081,0.000150965,0.000150965,0.000150965
4,284.579,0.69651,2.5211,0.99842,0.66504,0.55556,0.58267,0.5244,0.58991,2.40186,0.82189,0.000201618,0.000201618,0.000201618
5,354.94,0.49912,1.83423,0.91309,0.77677,0.60121,0.66391,0.64915,0.52208,2.02267,0.78918,0.000250006,0.000250006,0.000250006
6,425.143,0.51578,1.59008,0.86203,0.60969,0.83333,0.91167,0.80607,0.43513,1.34355,0.76649,0.000296132,0.000296132,0.000296132
7,495.764,0.49977,1.22911,0.87273,0.78398,0.972,0.995,0.92261,0.34379,0.91082,0.74998,0.000339993,0.000339993,0.000339993
8,740.972,0.50157,0.99302,0.83568,0.82512,0.98323,0.995,0.93111,0.38482,0.74546,0.75222,0.000381592,0.000381592,0.000381592
9,811.275,0.44084,0.93772,0.83472,0.94524,1,0.995,0.85258,0.44007,0.79782,0.75257,0.000420926,0.000420926,0.000420926
10,882.402,0.49884,0.86645,0.83215,0.94056,1,0.995,0.844,0.46713,0.91849,0.7526,0.000457997,0.000457997,0.000457997
11,952.812,0.45898,0.79608,0.82834,0.94189,1,0.995,0.97836,0.31596,0.63934,0.74059,0.000492805,0.000492805,0.000492805
12,1023.23,0.42353,0.78556,0.82489,0.94999,1,0.995,0.88991,0.37444,0.52357,0.74529,0.000525349,0.000525349,0.000525349
13,1093.03,0.40162,0.68401,0.81001,0.88766,1,0.995,0.90378,0.33103,0.58145,0.74788,0.000555629,0.000555629,0.000555629
14,1162.74,0.354,0.64532,0.79748,0.89401,0.99418,0.995,0.90293,0.30499,0.5277,0.74489,0.000583646,0.000583646,0.000583646
15,1232.43,0.38835,0.58129,0.80963,0.93061,1,0.995,0.9324,0.32387,0.50783,0.73745,0.0006094,0.0006094,0.0006094
16,1302.75,0.42868,0.70617,0.81172,0.92674,1,0.995,0.91577,0.3207,0.58919,0.73834,0.00063289,0.00063289,0.00063289
17,1373.69,0.37559,0.6108,0.80108,0.95174,1,0.995,0.8954,0.30632,0.51451,0.73832,0.000654116,0.000654116,0.000654116
18,1444.48,0.32088,0.5947,0.84464,0.95181,1,0.995,0.92867,0.285,0.36741,0.73904,0.000673079,0.000673079,0.000673079
