epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.9362,1.63457,4.64218,1.62847,0.00512,0.33333,0.08692,0.059,1.46319,4.0053,1.45355,1.429e-05,1.429e-05,1.429e-05
2,52.5747,1.74996,3.97121,1.62928,0.01141,0.66667,0.21105,0.14172,1.50184,3.46008,1.36739,4.20212e-05,4.20212e-05,4.20212e-05
3,76.6342,1.51629,3.91926,1.47829,0.01394,0.66667,0.25123,0.17935,1.31915,2.92492,1.25688,6.86206e-05,6.86206e-05,6.86206e-05
4,101.276,1.28023,2.97158,1.33721,0.12371,0.33333,0.33888,0.26817,1.1698,2.49504,1.17845,9.40882e-05,9.40882e-05,9.40882e-05
5,125.659,1.316,2.61092,1.42749,1,0.32965,0.42806,0.32049,1.15252,2.15081,1.18582,0.000118424,0.000118424,0.000118424
6,149.457,1.21022,2.25696,1.31677,0.9853,0.33333,0.53833,0.39485,1.08232,1.83935,1.1649,0.000141628,0.000141628,0.000141628
7,173.69,1.17604,2.06915,1.28367,0.69478,0.5,0.60778,0.40091,0.98863,1.63371,1.1208,0.000163701,0.000163701,0.000163701
8,198.355,1.04447,1.69573,1.17536,0.90319,0.62394,0.66333,0.45177,0.90839,1.43447,1.07362,0.000184641,0.000184641,0.000184641
9,222.559,0.98805,1.49159,1.17659,0.9223,0.66667,0.66333,0.4642,0.89632,1.4256,1.07254,0.00020445,0.00020445,0.00020445
10,246.614,0.91113,1.38776,1.06604,0.93561,0.66442,0.66333,0.47668,0.90228,1.49834,1.07753,0.000223127,0.000223127,0.000223127
11,430.055,0.98379,1.36708,1.10487,0.93885,0.63997,0.66333,0.46756,0.87094,1.52225,1.06406,0.000240672,0.000240672,0.000240672
12,455.305,0.80634,1.19162,1.05326,0.92628,0.64964,0.66333,0.48917,0.84262,1.51064,1.05203,0.000257086,0.000257086,0.000257086
13,479.215,0.80841,1.15827,1.04705,0.91336,0.65025,0.66333,0.53422,0.80737,1.30361,1.04394,0.000272367,0.000272367,0.000272367
14,503.799,0.71365,1.01066,0.99667,0.91273,0.64857,0.71071,0.5891,0.73808,1.05551,1.02079,0.000286517,0.000286517,0.000286517
15,528.173,0.81867,0.94777,1.00605,0.46715,0.83333,0.895,0.69742,0.75974,0.94811,1.04373,0.000299536,0.000299536,0.000299536
16,552.396,0.86897,0.97619,1.00622,0.69026,0.98557,0.91167,0.70527,0.73963,0.95887,1.01525,0.000311422,0.000311422,0.000311422
17,576.7,0.79866,0.80508,1.01943,0.60335,1,0.796,0.64146,0.73469,1.09493,0.99496,0.000322177,0.000322177,0.000322177
18,802.965,0.71587,0.83237,0.95154,0.58152,1,0.76,0.59979,0.75293,1.19835,0.99275,0.0003318,0.0003318,0.0003318
19,827.824,0.75417,0.77573,0.96264,0.611,1,0.8125,0.64505,0.69352,1.09174,0.91773,0.000340291,0.000340291,0.000340291
20,853.459,0.90646,0.81805,1.02952,0.75428,0.9417,0.995,0.80698,0.60668,0.94462,0.88032,0.00034765,0.00034765,0.00034765
21,881.593,0.73123,0.70295,0.96551,0.92104,0.99405,0.995,0.80142,0.5433,0.82543,0.8628,0.000353878,0.000353878,0.000353878
22,908.985,0.67632,0.65258,0.8996,0.89674,0.99236,0.995,0.76133,0.6166,0.72226,0.8709,0.000358973,0.000358973,0.000358973
23,936.406,0.78017,0.74742,0.98325,0.91612,0.99269,0.995,0.79311,0.64075,0.62622,0.86911,0.000362937,0.000362937,0.000362937
24,963.316,0.78466,0.66235,0.95841,0.92605,0.99862,0.995,0.82169,0.59569,0.52435,0.85542,0.00036577,0.00036577,0.00036577
25,988.641,0.73974,0.6272,0.94799,0.90482,1,0.995,0.82361,0.59546,0.48269,0.84464,0.00036747,0.00036747,0.00036747
26,1014.94,0.68214,0.608,0.91197,0.90564,1,0.995,0.8737,0.55054,0.47396,0.8418,0.000368039,0.000368039,0.000368039
27,1040.44,0.67891,0.62062,0.88076,0.92976,1,0.995,0.81016,0.54272,0.47231,0.84558,0.000367476,0.000367476,0.000367476
28,1065.26,0.6263,0.58261,0.89907,0.92976,1,0.995,0.81016,0.54272,0.47231,0.84558,0.000365781,0.000365781,0.000365781
29,1090.79,0.72021,0.62939,0.91968,0.93275,1,0.995,0.82902,0.59859,0.53288,0.84888,0.000362955,0.000362955,0.000362955
30,1116.43,0.64526,0.57063,0.86764,0.89209,0.98773,0.995,0.82766,0.62433,0.62549,0.86125,0.000358996,0.000358996,0.000358996
